,recipe_name,cuisine_diet
0,Pan-Fried Zoodles with Sesame and Paneer,asian low-fat
1,ROKU TONIC,indian beverage
2,Sweet 'N' Spicy Mushroom Fry,asian kid-friendly
3,Peanut Butter Choco-Cupcakes,british kid-friendly
4,CHUNCHI PATRA PITHA,indian vegetarian
5,SWEET POTATO BAKED YOGHURT,indian restaurants
6,Tawa fried paneer,indian vegetarian
7,Vanillekipfer Cookies,indian vegetarian
8,Bread Pakoda,indian vegetarian
9,Pahadi Bhuna Mutton Curry,indian non-vegetarian
10,Cream Rolls,indian vegetarian
11,Ooty Pumpkin Pie,indian non-vegetarian
12,Apple Cobbler,indian vegetarian
13,Railway Mutton Curry,indian non-vegetarian
14,Home-Style Dahi Machcha,indian non-vegetarian
15,Sulemani Chai,indian vegetarian
16,BLUEBERRY PHIRNI,indian vegetarian
17,Kunafa Recipe,indian vegetarian
18,Dahi Gujiya,indian vegetarian
19,MIXED FRUIT GUJJIAS,indian vegetarian
20,SWEET KACHORIS,indian vegetarian
21,OATS AND PEANUT LADDOOS,indian vegetarian
22,Tandoori Salmon,indian non-vegetarian
23,Aloo Tamatar Sabzi (Potato and Tomato side),indian vegetarian
24,Lime Pickle in Sweet Oil,indian vegetarian
25,Til Poli,indian vegetarian
26,Shahi Paneer with Cashew Nuts,indian vegetarian
27,Jain Chole,indian vegetarian
28,Lauki Koftas Curry without Onion,indian vegetarian
29,Guava Creamy,indian vegetarian
30,Veg Noodle Burger,indian vegetarian
31,Salmon Spread,continental kid-friendly
32,Whipped Mango Ice-cream,indian kid-friendly
33,Tomato Shallots Chutney,indian vegetarian
34,Creamy Prawn Risotto,italian non-vegetarian
35,Prawn Risotto,italian non-vegetarian
36,Chilli Paneer Balls,indo-chinese vegetarian
37,Slow-cooked Dal Makhni,indian vegetarian
38,Shrimp Fried Rice with Vegetables,thai non-vegetarian
39,Egg Curry in Coconut Masala,indian non-vegetarian
40,Chicken Curry with Sour Cream,indian non-vegetarian
41,Coconut Chutney with Red Chillies,indian vegetarian
42,Indian-style Mushrooms,indian vegetarian
43,Brinjal With Coconut Masala,indian vegetarian
44,Christmas Cake with Rum-soaked fruit,american festive
45,Appam with Jaggery,indian vegetarian
46,Angel of Peace,indian vegetarian
47,Ambot Tik,indian non-vegetarian
48,Grilled Dahi Chicken,indian non-vegetarian
49,Akoori (Masala Scrambled Eggs),indian non-vegetarian
50,Boneless Chicken Delight,indian non-vegetarian
51,Chicken and Almond Soup,indian non-vegetarian
52,Dhaniya Chicken,indian non-vegetarian
53,Bottle Gourd (Lauki) Kheer,indian kid-friendly
54,Apple Cinnamon Pancakes,anglo-indian kid-friendly
55,Apple Banana cupcakes,continental kid-friendly
56,Aloo Chips Chaat,indian kid-friendly
57,Amla Candy,indian kid-friendly
58,Pineapple Jam Crumble,indian kid-friendly
59,Chilli Noodle and Cashew Stir-Fry,chinese vegetarian
60,Green Peas Vada,indian kid-friendly
61,Instant rava Idli,indian vegetarian
62,Apple Orange Icecream Flan,continental kid-friendly
63,Special Vada Pav,indian vegetarian
64,Methi Thepla,indian vegetarian
65,Ammini Kozhakattai,indian kid-friendly
66,Anglo-Indian Steamroller Chicken,anglo-indian non-vegetarian
67,Almond Brandy Cake,anglo-indian festive
68,Arhar Ki Dal,indian kid-friendly
69,Almond cake,american kid-friendly
70,South Indian Mutton Curry,indian non-vegetarian
71,Apple Pumpkin Muffins,american kid-friendly
72,Ice Halwa,indian festive
73,Chikki Jam Roll for Kids,indian kid-friendly
74,Amla Sabzi,indian vegetarian
75,Hawaian Potato Salad,continental low-calorie
76,Bitter gourd curry,indian vegetarian
77,Sweet Potato Jamun with almonds,indian kid-friendly
78,Spinach in Curd Raita,indian vegetarian
79,Indian Paneer Pasanda,indian kid-friendly
80,Easy Pepper rasam,indian vegetarian
81,Aloo Jeera Raita,indian vegetarian
82,Aloo ka bomb,indian kid-friendly
83,Apple Pie,continental festive
84,Apple Cobbler,indian festive
85,Stuffed Tangy Bitter Gourd,indian kid-friendly
86,Aloo Nirali,indian vegetarian
87,Sauteed Indonesian Potatoes,indonesian vegetarian
88,Apple Halwa,indian kid-friendly
89,Anglo Indian Pork Bhoonie,anglo-indian non-vegetarian
90,American Cream Cheese Frosting,american kid-friendly
91,5 Star Diamonds,indian vegetarian
92,Okra in Indian Spices,indian vegetarian
93,Aloo Anar Raita,indian kid-friendly
94,Almond Kulfi,indian kid-friendly
95,Chilli Tofu,asian vegan
96,MW Jeera Peas Pulao,indian vegetarian
97,Amla Chutney,indian vegetarian
